Opening,YYYYMM,Count
French Defense: Normal Variation,201301,863.0
"Queen's Pawn Game: Colle System, Anti-Colle",201301,82.0
Four Knights Game: Italian Variation,201301,607.0
Caro-Kann Defense: Goldman Variation,201301,15.0
French Defense: La Bourdonnais Variation,201301,514.0
Owen Defense,201301,3192.0
"Italian Game: Classical Variation, Giuoco Pianissimo",201301,70.0
English Opening: The Whale,201301,432.0
Old Benoni Defense,201301,573.0
Englund Gambit Complex: Hartlaub-Charlick Gambit,201301,76.0
Modern Defense,201301,1982.0
"French Defense: Classical Variation, Richter Attack",201301,1.0
Giuoco Piano,201301,325.0
Ruy Lopez: Cozio Defense,201301,282.0
Sicilian Defense: McDonnell Attack,201301,808.0
Nimzo-Larsen Attack: Modern Variation #2,201301,151.0
French Defense: Advance Variation #2,201301,141.0
Scandinavian Defense: Mieses-Kotroc Variation,201301,2300.0
Bishop's Opening: Berlin Defense,201301,832.0
King's Gambit,201301,364.0
Scotch Game: Benima Defense,201301,20.0
Queen's Gambit Accepted: Saduleto Variation,201301,113.0
King's Pawn Game: McConnell Defense,201301,369.0
Horwitz Defense,201301,1952.0
"English Opening: Anglo-Indian Defense, King's Knight Variation",201301,25.0
Pirc Defense #5,201301,283.0
"Italian Game: Two Knights Defense, Modern Bishop's Opening",201301,271.0
Center Game #2,201301,321.0
Robatsch (Modern) Defense,201301,443.0
Bishop's Opening: Philidor Counterattack,201301,153.0
Sicilian Defense,201301,1488.0
Scandinavian Defense,201301,1621.0
Van't Kruijs Opening,201301,3995.0
English Defense,201301,68.0
"Italian Game: Evans Gambit, Lasker Defense",201301,1.0
Caro-Kann Defense,201301,1587.0
French Defense: Horwitz Attack,201301,58.0
Alekhine Defense: John Tracy Gambit,201301,41.0
Van Geet Opening,201301,178.0
Mikenas Defense,201301,228.0
"Italian Game: Two Knights Defense, Open Variation",201301,9.0
English Opening,201301,328.0
Queen's Gambit Refused: Baltic Defense,201301,131.0
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,201301,245.0
Rat Defense: Antal Defense,201301,28.0
Sicilian Defense: Hyperaccelerated Dragon,201301,112.0
Englund Gambit,201301,321.0
Sicilian Defense: Alapin Variation,201301,302.0
"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",201301,314.0
Center Game: Berger Variation,201301,37.0
"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",201301,18.0
English Defense #2,201301,1207.0
Nimzo-Larsen Attack: Classical Variation,201301,244.0
Philidor Defense #3,201301,1708.0
Queen's Gambit Declined,201301,753.0
Sicilian Defense: French Variation,201301,369.0
French Defense: Advance Variation #3,201301,359.0
Sicilian Defense: Smith-Morra Gambit,201301,138.0
Zukertort Opening: Queenside Fianchetto Variation,201301,166.0
French Defense: Advance Variation,201301,158.0
Italian Game: Anti-Fried Liver Defense,201301,769.0
Philidor Defense: Nimzowitsch Variation,201301,34.0
Slav Defense: Two Knights Attack,201301,18.0
Sicilian Defense: Smith-Morra Gambit #2,201301,569.0
French Defense: Knight Variation,201301,1834.0
Zukertort Opening: Kingside Fianchetto,201301,98.0
King's Pawn Game: Beyer Gambit,201301,90.0
Semi-Slav Defense,201301,209.0
Nimzo-Larsen Attack,201301,382.0
Three Knights Opening,201301,546.0
Scandinavian Defense: Main Line,201301,434.0
English Opening: Anglo-Indian Defense,201301,96.0
"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",201301,18.0
Nimzo-Larsen Attack: Spike Variation,201301,7.0
Nimzo-Larsen Attack: English Variation,201301,92.0
Queen's Gambit Declined: Normal Defense,201301,204.0
Modern Defense: Geller's System,201301,78.0
Nimzo-Larsen Attack: Symmetrical Variation,201301,152.0
"Caro-Kann Defense: Panov Attack, Gunderam Attack",201301,6.0
Queen's Gambit Declined: Queen's Knight Variation,201301,252.0
Alekhine Defense,201301,249.0
King's Pawn Game,201301,386.0
Zukertort Opening: Queen's Gambit Invitation,201301,258.0
Mieses Opening,201301,563.0
Vienna Game: Stanley Variation,201301,190.0
Hungarian Opening: Sicilian Invitation,201301,151.0
Sicilian Defense: Loewenthal Variation,201301,218.0
"French Defense: Advance Variation, Paulsen Attack",201301,174.0
Queen's Gambit Refused: Marshall Defense,201301,550.0
"Sicilian Defense: Kan Variation, Knight Variation",201301,44.0
Four Knights Game: Scotch Variation Accepted,201301,187.0
Sicilian Defense: Bowdler Attack,201301,1706.0
Queen's Pawn Game #2,201301,1526.0
Zukertort Opening: Wade Defense,201301,18.0
Queen's Gambit Refused: Austrian Defense,201301,135.0
Bishop's Opening: Vienna Hybrid,201301,107.0
Scandinavian Defense: Modern Variation #2,201301,267.0
Sicilian Defense: Paulsen Variation,201301,127.0
Indian Game,201301,717.0
"French Defense: Advance Variation, Nimzowitsch System",201301,249.0
French Defense: Exchange Variation,201301,551.0
Benoni Defense: Old Benoni,201301,133.0
Slav Defense: Geller Gambit #2,201301,12.0
Sicilian Defense: Katalimov Variation,201301,101.0
Vienna Game: Zhuravlev Countergambit #2,201301,56.0
Gedult's Opening,201301,136.0
Scotch Game,201301,1120.0
Queen's Gambit Accepted,201301,498.0
"English Opening: King's English Variation, Two Knights Variation",201301,169.0
Queen's Gambit Accepted: Old Variation,201301,377.0
Queen's Gambit Accepted: Normal Variation,201301,50.0
Queen's Pawn Game: Franco-Sicilian Defense,201301,189.0
"Nimzowitsch Defense, Declined Variation",201301,140.0
"Sicilian Defense: Paulsen Variation, Normal Variation",201301,123.0
Barnes Defense,201301,78.0
Scandinavian Defense: Gubinsky-Melts Defense,201301,160.0
"Sicilian Defense: French Variation, Open",201301,51.0
Pirc Defense #4,201301,951.0
French Defense #2,201301,652.0
Vienna Game,201301,326.0
Nimzowitsch Defense,201301,354.0
Rat Defense: Small Center Defense,201301,506.0
Italian Game: Giuoco Pianissimo,201301,196.0
Alekhine Defense: Brooklyn Variation,201301,25.0
Queen's Pawn,201301,902.0
Philidor Defense #2,201301,1225.0
Italian Game,201301,690.0
French Defense: King's Indian Attack,201301,294.0
English Opening: King's English Variation,201301,363.0
Queen's Gambit Accepted: Rosenthal Variation,201301,51.0
Indian Game: Tartakower Attack,201301,53.0
Semi-Slav Defense: Anti-Moscow Gambit,201301,9.0
"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",201301,173.0
"Englund Gambit Declined, Reversed French",201301,276.0
Four Knights Game,201301,125.0
French Defense: Tarrasch Variation,201301,18.0
Bishop's Opening: Boi Variation,201301,286.0
Indian Game: Wade-Tartakower Defense,201301,62.0
Semi-Slav Defense: Botvinnik Variation,201301,10.0
Elephant Gambit,201301,271.0
"St. George Defense: New St. George, Traditional Line",201301,1.0
"Queen's Gambit Refused: Chigorin Defense, Janowski Variation",201301,65.0
Nimzowitsch Defense: Kennedy Variation,201301,44.0
Sicilian Defense: Delayed Alapin Variation,201301,96.0
"Bishop's Opening: Vienna Hybrid, Spielmann Attack",201301,53.0
Scotch Game: Classical Variation,201301,193.0
King's Pawn Game: Damiano Defense,201301,312.0
Ruy Lopez: Steinitz Defense,201301,853.0
Queen's Pawn Game,201301,1264.0
Queen's Gambit Accepted: Showalter Variation,201301,52.0
Queen's Pawn Game: Zukertort Variation,201301,1006.0
Owen Defense: Smith Gambit,201301,95.0
Benoni Defense: Benoni Gambit Accepted,201301,257.0
Sicilian Defense: Staunton-Cochrane Variation,201301,345.0
Blackmar-Diemer Gambit: Gedult Gambit,201301,35.0
Vienna Game: Max Lange Defense,201301,116.0
Old Indian Defense,201301,276.0
Canard Opening,201301,84.0
"Russian Game: Modern Attack, Center Variation",201301,8.0
"King's Gambit Accepted, MacLeod Defense",201301,366.0
Queen's Pawn Game: Anglo-Slav Opening,201301,72.0
"Nimzowitsch Defense: Kennedy Variation, Keres Attack",201301,6.0
Zukertort Opening: Reversed Mexican Defense,201301,79.0
Zukertort Opening: Sicilian Invitation,201301,237.0
"French Defense: Winawer Variation, Fingerslip Variation",201301,12.0
"Queen's Gambit Accepted: Central Variation, Greco Variation",201301,73.0
"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",201301,7.0
"King's Gambit Declined, Queen's Knight Defense",201301,366.0
Queen's Gambit Declined: Alekhine Variation,201301,3.0
"Sicilian Defense: O'Kelly Variation, Normal System",201301,4.0
Zukertort Opening: Nimzo-Larsen Variation,201301,8.0
Center Game Accepted,201301,23.0
Ruy Lopez: Berlin Defense #2,201301,265.0
"Alekhine Defense: Scandinavian Variation, Geschev Gambit",201301,28.0
Sicilian Defense: Closed Variation,201301,229.0
"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense",201301,7.0
"Gruenfeld Defense: Russian Variation, Accelerated Variation",201301,1.0
"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",201301,14.0
Slav Defense #2,201301,254.0
Slav Defense #3,201301,134.0
Catalan Opening: Closed Variation,201301,26.0
Russian Game: Urusov Gambit,201301,337.0
English Opening: Agincourt Defense,201301,310.0
"Queen's Gambit Accepted: Central Variation, Modern Defense",201301,52.0
Philidor Defense #4,201301,177.0
"Ruy Lopez: Exchange Variation, Lutikov Variation",201301,84.0
"Vienna Game: Stanley Variation, Three Knights Variation",201301,30.0
Caro-Kann Defense: Advance Variation,201301,294.0
Sicilian Defense: Old Sicilian,201301,999.0
Bird Opening,201301,619.0
Three Knights Opening #2,201301,88.0
King's Pawn Game: Wayward Queen Attack,201301,1338.0
"Pirc Defense: Classical Variation, Quiet System",201301,15.0
"English Opening: Symmetrical Variation, Three Knights Variation",201301,1.0
Sicilian Defense: Delayed Alapin,201301,116.0
"King's Gambit Accepted, Schallopp Defense",201301,105.0
French Defense: Queen's Knight,201301,249.0
